type, x, y, width, height
course,0,0,5000,7400
wall,0,0,5000,0
wall,5000,0,5000,5000
wall,5000,5000,3600,5000
wall,3600,5000,3600,7400
wall,3600,7400,1275,7400
wall,1275,7400,1275,5000
wall,1275,5000,0,5000
wall,0,5000,0,0
pole,1300,600,100,
pole,1500,600,100,
pole,1700,600,100,
pole,3100,600,100,
pole,3300,600,100,
pole,3500,600,100,
pole,2000,1500,100,
pole,2200,1500,100,
pole,2400,1500,100,
pole,2600,1500,100,
pole,2800,1500,100,
pole,3000,1500,100,
pole,1300,2400,100,
pole,1500,2400,100,
pole,1700,2400,100,
pole,3100,2400,100,
pole,3300,2400,100,
pole,3500,2400,100,
pole,2000,3300,100,
pole,2200,3300,100,
pole,2400,3300,100,
pole,2600,3300,100,
pole,2800,3300,100,
pole,3000,3300,100,
pole,1250,6150,100,
pole,3750,6150,100,
