type, x, y, width | x2 | radius,height | y2
course,0,0,5000,7400
wall,0,0,5000,0
wall,5000,0,5000,5000
wall,5000,5000,3600,5000
wall,3600,5000,3600,7400
wall,3600,7400,1275,7400
wall,1275,7400,1275,5000
wall,1275,5000,0,5000
wall,0,5000,0,0
pole,1300,600,100,
pole,1500,600,100,
pole,1700,600,100,
pole,3100,600,100,
pole,3300,600,100,
pole,3500,600,100,
pole,2000,1500,100,
pole,2200,1500,100,
pole,2400,1500,100,
pole,2600,1500,100,
pole,2800,1500,100,
pole,3000,1500,100,
pole,1300,2400,100,
pole,1500,2400,100,
pole,1700,2400,100,
pole,3100,2400,100,
pole,3300,2400,100,
pole,3500,2400,100,
pole,2000,3300,100,
pole,2200,3300,100,
pole,2400,3300,100,
pole,2600,3300,100,
pole,2800,3300,100,
pole,3000,3300,100,
pole,1275,6150,100,
pole,3725,6150,100,
ramp,2250,4450,500,1700
net,318.75,3356.25,956.25,2718.75
net,4681.75,3356.25,4045.25,2718.75
barrier,0,6762.5,637.5,7400
barrier,5000,6762.5,4362.5,7400
barrier,2500,0,2500,2400
barrel,3500,5100,450,250
barrel,1050,5100,450,250
door,350,5200,750,5200
door,4250,5200,4650,5200
ball,1050,3400,70,
ball,4000,3400,70,
